Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
NA	NA	TUBG1	POU4F3	FOXO4	TOP3A	NA	NA	LITAF	NA	MMP2	NA	NA	NELL2
NA	NA	ENOSF1	PPARG	MUC1	UBE2N	NA	NA	NAMPT	NA	MMP3	NA	NA	NFE2
NA	NA	RAN	MAPK3	BRCC3	FANCB	NA	NA	KIF1B	NA	MMP7	NA	NA	NFIA
NA	NA	RFC3	MAP2K1	BLM	RAD51B	NA	NA	DENND5A	NA	MMP9	NA	NA	NFIB
NA	NA	E2F5	PROX1	TFDP1	FANCF	NA	NA	ICOSLG	NA	MSN	NA	NA	NKX2-5
NA	NA	AKIRIN2	PSEN1	MDM4	RAD51D	NA	NA	PPP1R15A	NA	MST1R	NA	NA	NODAL
NA	NA	TROAP	PTGER4	CNOT7	FANCA	NA	NA	MAFF	NA	MTA1	NA	NA	NT5E
NA	NA	BORA	PTN	E2F4	FANCM	NA	NA	HIPK2	NA	MTDH	NA	NA	OLFM4
NA	NA	PIF1	PTPN11	UBA52	H2AFX	NA	NA	G0S2	NA	MUC1	NA	NA	OPHN1
NA	NA	FANCI	PTPRZ1	PRKDC	ALKBH2	NA	NA	DRAM1	NA	MYC	NA	NA	ORC6
NA	NA	LYAR	RAC1	NA	HMGB1	NA	NA	TSLP	NA	NEDD9	NA	NA	PABPC1
NA	NA	CDCA5	RAG1	NA	XRCC6	NA	NA	RNF144B	NA	NOTCH1	NA	NA	PAX6
NA	NA	DSN1	RB1	NA	XRCC2	NA	NA	NA	NA	NTRK2	NA	NA	POU5F1
NA	NA	CCNF	RELB	NA	BLM	NA	NA	NA	NA	PCNA	NA	NA	PROM1
NA	NA	CDC25A	RXRA	NA	GTF2H4	NA	NA	NA	NA	PDGFRA	NA	NA	PTK7
NA	NA	SAP30	CCL19	NA	FANCG	NA	NA	NA	NA	PDPN	NA	NA	PTMA
NA	NA	CDCA7L	SHOX2	NA	UBA52	NA	NA	NA	NA	PIK3CA	NA	NA	PTPRC
NA	NA	INTS8	SNAI1	NA	PRKDC	NA	NA	NA	NA	PKM	NA	NA	PTPRG
NA	NA	MCM7	SOD1	NA	GTF2H5	NA	NA	NA	NA	PLAU	NA	NA	PTPRO
